,O3,latitude,CO_level,SYWRW,NO2,PM10_color,O3_level,PM25_color,SO2,sitename,AQI,NO2_level,AQI_level,districtcode,SO2_color,longitude,NO2_color,PM25,PM10_level,CO,PM25_level,CO_color,sitecode,AQI_color,districtname,O3_color,SO2_level,PM10,time
0,147,30.28,优,--,16,#00E400,优,#00E400,8,杭州市,46,优,优,330100,#00E400,120.15,#00E400,22,优,0.6,优,#00E400,330100,#00E400,杭州市,#00E400,优,41,2026-05-07 12:00:00
1,107,29.88,优,--,16,#00E400,优,#00E400,8,宁波市,34,优,优,330200,#00E400,121.55,#00E400,13,优,0.4,优,#00E400,330200,#00E400,宁波市,#00E400,优,25,2026-05-07 12:00:00
2,128,28,优,--,14,#00E400,优,#00E400,6,温州市,40,优,优,330300,#00E400,120.7,#00E400,16,优,0.4,优,#00E400,330300,#00E400,温州市,#00E400,优,34,2026-05-07 12:00:00
3,156,30.75,优,PM₁₀,32,#FFFF00,优,#00E400,9,嘉兴市,59,优,良,330400,#00E400,120.75,#00E400,33,良,0.5,优,#00E400,330400,#FFFF00,嘉兴市,#00E400,优,62,2026-05-07 12:00:00
4,144,30.9,优,--,18,#00E400,优,#00E400,9,湖州市,45,优,优,330500,#00E400,120.08,#00E400,16,优,0.4,优,#00E400,330500,#00E400,湖州市,#00E400,优,31,2026-05-07 12:00:00
5,135,30,优,--,8,#00E400,优,#00E400,7,绍兴市,43,优,优,330600,#00E400,120.57,#00E400,21,优,0.4,优,#00E400,330600,#00E400,绍兴市,#00E400,优,33,2026-05-07 12:00:00
6,147,29.08,优,--,10,#00E400,优,#00E400,3,金华市,46,优,优,330700,#00E400,119.65,#00E400,18,优,0.4,优,#00E400,330700,#00E400,金华市,#00E400,优,35,2026-05-07 12:00:00
7,164,28.93,优,O₃,14,#00E400,良,#00E400,10,衢州市,55,优,良,330800,#00E400,118.87,#00E400,29,优,0.6,优,#00E400,330800,#FFFF00,衢州市,#FFFF00,优,30,2026-05-07 12:00:00
8,93,30,优,--,20,#00E400,优,#00E400,6,舟山市,30,优,优,330900,#00E400,122.2,#00E400,10,优,0.4,优,#00E400,330900,#00E400,舟山市,#00E400,优,19,2026-05-07 12:00:00
9,105,28.68,优,--,11,#00E400,优,#00E400,5,台州市,33,优,优,331000,#00E400,121.43,#00E400,8,优,0.4,优,#00E400,331000,#00E400,台州市,#00E400,优,26,2026-05-07 12:00:00
10,111,28.45,优,--,9,#00E400,优,#00E400,5,丽水市,35,优,优,331100,#00E400,119.92,#00E400,14,优,0.4,优,#00E400,331100,#00E400,丽水市,#00E400,优,28,2026-05-07 12:00:00
