时间,鸿旺,欧伦
2025-02-01 00:00:00,0.0,0.0
2025-02-01 00:15:00,0.0,0.0
2025-02-01 00:30:00,0.0,0.0
2025-02-01 00:45:00,0.0,0.0
2025-02-01 01:00:00,0.0,0.0
2025-02-01 01:15:00,0.0,0.0
2025-02-01 01:30:00,0.0,0.0
2025-02-01 01:45:00,0.0,0.0
2025-02-01 02:00:00,0.0,0.0
2025-02-01 02:15:00,0.0,0.0
2025-02-01 02:30:00,0.0,0.0
2025-02-01 02:45:00,0.0,0.0
2025-02-01 03:00:00,0.0,0.0
2025-02-01 03:15:00,0.0,0.0
2025-02-01 03:30:00,0.0,0.0
2025-02-01 03:45:00,0.0,0.0
2025-02-01 04:00:00,0.0,0.0
2025-02-01 04:15:00,0.0,0.0
2025-02-01 04:30:00,0.0,0.0
2025-02-01 04:45:00,0.0,0.0
2025-02-01 05:00:00,0.0,0.0
2025-02-01 05:15:00,0.0,0.0
2025-02-01 05:30:00,0.0,0.0
2025-02-01 05:45:00,0.0,0.0
2025-02-01 06:00:00,0.0,0.0
2025-02-01 06:15:00,0.0,0.0
2025-02-01 06:30:00,0.0,0.0
2025-02-01 06:45:00,0.00039,0.00043
2025-02-01 07:00:00,0.00069,0.00038
2025-02-01 07:15:00,0.00326,0.00375
2025-02-01 07:30:00,0.00212,0.00246
2025-02-01 07:45:00,0.00567,0.00506
2025-02-01 08:00:00,0.00579,0.00753
2025-02-01 08:15:00,0.01053,0.0103
2025-02-01 08:30:00,0.03661,0.03137
2025-02-01 08:45:00,0.03321,0.03786
2025-02-01 09:00:00,0.06086,0.05965
2025-02-01 09:15:00,0.07707,0.07467
2025-02-01 09:30:00,0.13005,0.1258
2025-02-01 09:45:00,0.09135,0.0903
2025-02-01 10:00:00,0.10481,0.10134
2025-02-01 10:15:00,0.08341,0.08122
2025-02-01 10:30:00,0.08193,0.07652
2025-02-01 10:45:00,0.09516,0.09055
2025-02-01 11:00:00,0.07342,0.06987
2025-02-01 11:15:00,0.07941,0.07225
2025-02-01 11:30:00,0.10279,0.10092
2025-02-01 11:45:00,0.12521,0.12129
2025-02-01 12:00:00,0.10817,0.098
2025-02-01 12:15:00,0.11458,0.09037
2025-02-01 12:30:00,0.19159,0.17886
2025-02-01 12:45:00,0.13707,0.13191
2025-02-01 13:00:00,0.1116,0.10424
2025-02-01 13:15:00,0.77683,0.73153
2025-02-01 13:30:00,0.23825,0.23718
2025-02-01 13:45:00,0.16622,0.16159
2025-02-01 14:00:00,0.24426,0.22017
2025-02-01 14:15:00,0.12911,0.1188
2025-02-01 14:30:00,0.12498,0.11674
2025-02-01 14:45:00,0.09372,0.09226
2025-02-01 15:00:00,0.14729,0.14688
2025-02-01 15:15:00,0.10966,0.1072
2025-02-01 15:30:00,0.07607,0.07752
2025-02-01 15:45:00,0.08334,0.08483
2025-02-01 16:00:00,0.01654,0.0186
2025-02-01 16:15:00,0.03198,0.0312
2025-02-01 16:30:00,0.03633,0.03468
2025-02-01 16:45:00,0.02355,0.02098
2025-02-01 17:00:00,0.01532,0.01429
2025-02-01 17:15:00,0.00608,0.0056
2025-02-01 17:30:00,0.00156,0.00099
2025-02-01 17:45:00,0.00024,0.00024
2025-02-01 18:00:00,0.00024,0.00024
2025-02-01 18:15:00,0.00022,0.00012
2025-02-01 18:30:00,0.00015,0.0
2025-02-01 18:45:00,7e-05,0.0
2025-02-01 19:00:00,0.0,0.0
2025-02-01 19:15:00,0.0,0.0
2025-02-01 19:30:00,0.0,0.0
2025-02-01 19:45:00,0.0,0.0
2025-02-01 20:00:00,0.0,0.0
2025-02-01 20:15:00,0.0,0.0
2025-02-01 20:30:00,0.0,0.0
2025-02-01 20:45:00,0.0,0.0
2025-02-01 21:00:00,0.0,0.0
2025-02-01 21:15:00,0.0,0.0
2025-02-01 21:30:00,0.0,0.0
2025-02-01 21:45:00,0.0,0.0
2025-02-01 22:00:00,0.0,0.0
2025-02-01 22:15:00,0.0,0.0
2025-02-01 22:30:00,0.0,0.0
2025-02-01 22:45:00,0.0,0.0
2025-02-01 23:00:00,0.0,0.0
2025-02-01 23:15:00,0.0,0.0
2025-02-01 23:30:00,0.0,0.0
2025-02-01 23:45:00,0.0,0.0
