时间,鸿旺,欧伦
2025-05-05 00:00:00,0.0,0.0
2025-05-05 00:15:00,0.0,0.0
2025-05-05 00:30:00,0.0,0.0
2025-05-05 00:45:00,0.0,0.0
2025-05-05 01:00:00,0.0,0.0
2025-05-05 01:15:00,0.0,0.0
2025-05-05 01:30:00,0.0,0.0
2025-05-05 01:45:00,0.0,0.0
2025-05-05 02:00:00,0.0,0.0
2025-05-05 02:15:00,0.0,0.0
2025-05-05 02:30:00,0.0,0.0
2025-05-05 02:45:00,0.0,0.0
2025-05-05 03:00:00,0.0,0.0
2025-05-05 03:15:00,0.0,0.0
2025-05-05 03:30:00,0.0,0.0
2025-05-05 03:45:00,0.0,0.0
2025-05-05 04:00:00,0.0,0.0
2025-05-05 04:15:00,0.0,0.0
2025-05-05 04:30:00,0.0,0.0
2025-05-05 04:45:00,0.0,0.0
2025-05-05 05:00:00,0.0,0.0
2025-05-05 05:15:00,0.00052,0.00052
2025-05-05 05:30:00,0.00306,0.00401
2025-05-05 05:45:00,0.0058,0.00512
2025-05-05 06:00:00,0.00754,0.00679
2025-05-05 06:15:00,0.02195,0.01832
2025-05-05 06:30:00,0.05643,0.04614
2025-05-05 06:45:00,0.01232,0.01248
2025-05-05 07:00:00,0.01372,0.01405
2025-05-05 07:15:00,0.04631,0.04188
2025-05-05 07:30:00,0.05824,0.06173
2025-05-05 07:45:00,0.0938,0.0911
2025-05-05 08:00:00,0.08496,0.09133
2025-05-05 08:15:00,0.14321,0.14391
2025-05-05 08:30:00,0.12124,0.12582
2025-05-05 08:45:00,0.1404,0.13381
2025-05-05 09:00:00,0.11086,0.1242
2025-05-05 09:15:00,0.09041,0.09443
2025-05-05 09:30:00,0.11128,0.10407
2025-05-05 09:45:00,0.11507,0.11097
2025-05-05 10:00:00,0.10242,0.09909
2025-05-05 10:15:00,0.1384,0.14129
2025-05-05 10:30:00,0.23844,0.21364
2025-05-05 10:45:00,0.1535,0.15062
2025-05-05 11:00:00,0.18877,0.16886
2025-05-05 11:15:00,0.13338,0.12787
2025-05-05 11:30:00,0.11005,0.1231
2025-05-05 11:45:00,0.28542,0.26255
2025-05-05 12:00:00,0.52253,0.51119
2025-05-05 12:15:00,0.30916,0.27088
2025-05-05 12:30:00,0.50429,0.53677
2025-05-05 12:45:00,0.40515,0.38262
2025-05-05 13:00:00,0.31865,0.25158
2025-05-05 13:15:00,0.75181,0.70927
2025-05-05 13:30:00,0.95491,0.73446
2025-05-05 13:45:00,0.91307,0.92308
2025-05-05 14:00:00,0.7758,0.63825
2025-05-05 14:15:00,0.58189,0.50162
2025-05-05 14:30:00,0.6241,0.59169
2025-05-05 14:45:00,0.6283,0.56371
2025-05-05 15:00:00,0.32745,0.30647
2025-05-05 15:15:00,0.39153,0.38545
2025-05-05 15:30:00,0.84811,0.77014
2025-05-05 15:45:00,0.80313,0.70121
2025-05-05 16:00:00,0.54974,0.46118
2025-05-05 16:15:00,0.45118,0.41387
2025-05-05 16:30:00,0.30452,0.25848
2025-05-05 16:45:00,0.37226,0.36082
2025-05-05 17:00:00,0.25252,0.26418
2025-05-05 17:15:00,0.16962,0.18383
2025-05-05 17:30:00,0.11033,0.11223
2025-05-05 17:45:00,0.14372,0.15307
2025-05-05 18:00:00,0.05976,0.05271
2025-05-05 18:15:00,0.02671,0.02411
2025-05-05 18:30:00,0.008,0.00912
2025-05-05 18:45:00,0.00048,0.00041
2025-05-05 19:00:00,0.00024,0.00024
2025-05-05 19:15:00,0.00024,0.00024
2025-05-05 19:30:00,0.00016,0.0
2025-05-05 19:45:00,8e-05,0.0
2025-05-05 20:00:00,0.0,0.0
2025-05-05 20:15:00,0.0,0.0
2025-05-05 20:30:00,0.0,0.0
2025-05-05 20:45:00,0.0,0.0
2025-05-05 21:00:00,0.0,0.0
2025-05-05 21:15:00,0.0,0.0
2025-05-05 21:30:00,0.0,0.0
2025-05-05 21:45:00,0.0,0.0
2025-05-05 22:00:00,0.0,0.0
2025-05-05 22:15:00,0.0,0.0
2025-05-05 22:30:00,0.0,0.0
2025-05-05 22:45:00,0.0,0.0
2025-05-05 23:00:00,0.0,0.0
2025-05-05 23:15:00,0.0,0.0
2025-05-05 23:30:00,0.0,0.0
2025-05-05 23:45:00,0.0,0.0
